Year,Month,Value
1978,Aug,26.8
1978,Sep,31.01
1978,Oct,24.71
1978,Nov,34.6
1978,Dec,48.95
1979,Jan,87.36
1979,Feb,83.87
1979,Mar,65.85
1979,Apr,26.36
1979,May,39.89
1979,Jun,15.88
1979,Jul,9.29
1979,Aug,19.59
1979,Sep,25.81
1979,Oct,18.89
1979,Nov,27.34
1979,Dec,31.68
1980,Jan,74.94
1980,Feb,99.76
1980,Mar,36.04
1980,Apr,36.18
1980,May,31.32
1980,Jun,24.24
1980,Jul,24.1
1980,Aug,12.01
1980,Sep,6.74
1980,Oct,23.61
1980,Nov,17.76
1980,Dec,43.05
1981,Jan,130.57
1981,Feb,107.92
1981,Mar,31.15
1981,Apr,15.45
1981,May,42.44
1981,Jun,26.41
1981,Jul,29
1981,Aug,16.58
1981,Sep,9.88
1981,Oct,17.4
1981,Nov,54.49
1981,Dec,46.05
1982,Jan,85.38
1982,Feb,91.07
1982,Mar,94.66
1982,Apr,15.19
1982,May,16.16
1982,Jun,12.55
1982,Jul,6.56
1982,Aug,7.24
1982,Sep,17.34
1982,Oct,11.05
1982,Nov,17.79
1982,Dec,40.15
1983,Jan,44.32
1983,Feb,31.46
1983,Mar,109.85
1983,Apr,65.28
1983,May,46.48
1983,Jun,21.54
1983,Jul,16.72
1983,Aug,19.98
1983,Sep,15.84
1983,Oct,24.81
1983,Nov,49.42
1983,Dec,47.29
1984,Jan,148.87
1984,Feb,69.57
1984,Mar,78.35
1984,Apr,22.68
1984,May,21.08
1984,Jun,11
1984,Jul,46.33
1984,Aug,18.79
1984,Sep,28
1984,Oct,23.8
1984,Nov,22.25
1984,Dec,55.73
1985,Jan,33.9
1985,Feb,60.33
1985,Mar,54.48
1985,Apr,30.12
1985,May,18.83
1985,Jun,22.23
1985,Jul,20.83
1985,Aug,23.52
1985,Sep,9.89
1985,Oct,32.36
1985,Nov,49.02
1985,Dec,42.02
1986,Jan,78.46
1986,Feb,42.95
1986,Mar,15.15
1986,Apr,16.71
